Yr,l2.5,l3,l3.5,l4,l4.5,l5,l5.5,l6,l6.5,l7,l7.5,l8,l8.5,l9,l9.5,l10,l10.5,l11,l11.5,l12,l12.5,l13,l13.5,l14,l14.5,l15,l15.5,l16,l16.5,l17,l17.5,l18,l18.5,l19,l19.5,l20,l20.5,l21,l21.5,l22
2004,0,0,0,0,0,0,0,0,0,0,0,0,0,839.044,19046.4,37116.7,42527.5,51251.8,58200.4,101874,194726,247868,181162,163110,74603.7,30388.1,16335.9,6580.49,3399.69,2159.86,2872.26,511.848,0,0,0,0,0,0,0,0
2006,0,0,0,0,0,0,0,0,0,0,0,1757.45,0,6850.52,103524,279878,348929,396933,457374,491888,367712,278144,194901,140190,77770.3,45441,9989.74,7974.83,1510.59,253.567,333.952,117.822,0,0,0,0,0,0,0,0
2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16672.6,49692.4,73721.4,85457.9,160285,216269,327084,290597,253661,150475,90122.4,36398.2,25745.5,8525.74,3379.98,1351.99,675.996,0,0,0,0,0,0,0,0
2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10122.7,28431,65989.8,121892,177880,178064,205902,148711,90174.9,45386.5,33323.2,17431.8,7350.06,4856.85,664.495,124.201,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0,0,0,229.491,3679.03,24470,25421.7,28076.2,46898.9,32722.6,26248.7,28765.3,56715.5,108612,162628,204463,95946.9,56356.4,20896.6,13193.5,8316.03,5193.39,4337.64,970.317,17.185,0,0,0,0,0,0,0,0,0
2013,0,0,0,0,0,0,0,0,0,0,0,0,10542,19015.3,33774.1,50641.3,54897.9,59364.4,36382.1,44375,27660.1,28236.8,33485,38812.1,47004.1,42086,31045.1,24404.5,8350.87,4393.69,1373.84,148.199,0,0,0,0,0,0,0,0
2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1624.39,3332.7,40091.2,127088,274062,330049,352397,275739,204447,137083,98557.1,61928.7,25965,17034.2,8048.55,3408.99,836.364,349.367,0,0,0,0,0,0,0,0
2015,0,0,0,0,0,0,0,0,0,12254.9,139132,278888,264234,185782,158840,173328,315063,312189,241731,177736,135695,124199,82221.2,41636.9,20297.1,7038.92,2105.79,732.099,63.318,22.235,0,0,0,0,0,0,0,0,0,0
2016,0,0,0,0,0,0,0,0,0,0,0,9550.67,107953,249463,312045,238988,407592,421127,491692,608291,364903,245009,102771,63094.2,29044.3,21007.1,6544.26,5339.21,700.951,789.928,175.072,0,0,0,0,0,0,0,0,0
2017,0,0,0,0,0,0,0,0,0,0,16170.4,49858,112768,165237,186694,182861,136923,147118,154120,88765.9,74410.2,72610.6,49401,28206,15345.4,11347.8,8258.9,1546.69,1395.88,945.907,304.98,57.102,5.966,0,0,0,0,0,0,0
2018,0,0,0,0,0,0,0,0,0,0,0,0,0,3092.7,24643.4,256992,266939,525041,582830,627878,230598,208116,99223.5,82003.2,57638.3,43142.3,22627.4,20462.6,6254.68,5620.26,0,0,0,0,0,0,0,0,0,0
2019,0,0,0,0,0,0,0,0,0,0,0,0,75490.7,320756,339549,425065,480456,584390,728282,1074290,755687,436891,137204,76160.1,26159.4,10862.2,7216.06,4227.43,1472.17,736.304,148.891,0,0,0,0,0,0,0,0,0
2020,0,0,0,0,0,0,0,0,0,25826,189089,260329,270255,395880,547133,351193,381178,579753,616464,552163,314532,245112,139974,108155,66683.8,45923.1,27220.1,16719.6,11606.4,5758.46,1565.02,320.274,0,0,0,0,0,0,0,0
2023,31784.5,27546.6,16951.8,10594.8,19070.7,2118.97,8475.88,2118.97,4237.94,46385.6,116088,86492,122948,125017,162926,142704,123488,60682.2,51933.4,48647.6,76578,87080.1,49163.9,28898,11346.4,4262.01,460.671,38.995,54.768,24.536,435.696,0,0,0,0,0,0,0,0,0
